Sentence,Alternative1,Alternative2,Alternative3
I know Tom likes me.,me ign ow to mli kezne,i ke,to ml ovezhin
But it's very strong actually.,b utits ve rysd longactualry  dh isn edlalis lea lryhald,ziriislealst ro  mg,
Sami has been making orange juice.,sa miha sbeemn ak imgorankeju ice,s amis juiceisam azink,dl imkdhizoran gejui ce
"The place-name sign was obscured by overhanging branches, which meant that you could easily miss it.",ethad had z tlankezyn b olscarve dintoit t heblac ename  si gnwaso pscuretpyofe rhangi ngprancheswhic h m eantthadyouco u ld eazilymissi t,re,i tw asimp ossib retok e tiddowm fro md hetlee
Sami didn't know if he was allowed to do that.,sa midi tntk mo wifhewasa ll  owetto  dodhat,s amidoesn tknow howlo ngth is has beengo ing on,samitoe s n dthimkraylare c ognizedhin
Diego was trying to open the door.,d iegowast lyimgto op e mdhed ool,,hepa s tedt hem  otice onthedoor
The woman who was sitting between Tom and Mary is my mother.,dh ewo mamw ho wazsit tinkb edweendon  amdm a ry ismymodhel  tom satto wm acrozz f lonmaly,do mwentofera  nts a tdown m  extdomary,
"Mary is unambitious, isn't she?",maryiso pzezzif e isnd zhe maryisumanb idio usisn t,,sh e
Tom has also written many articles for us.,lotesever archirtrem sbo oks tomhasa rsowritdenm an yartic l esf  orus,tom w,do mus edtol ea  darod
Tom is a bit of a shrinking violet.,onisa b itofazhri nk i  nkviol et,t,domloo gz alitt ledebres zed
Let's discuss it over dinner.,red stiz cussit oferti mner,l etsgooudfo rdinn el ,red z dalga bit abo utthat
They agreed on a joint statement.,t heyagleed o najoind sdaten emd  they ad mi dtetdhey a gleeddo dodhat,t hey al guetapo utthesemtence,
I think that Tom may have a drinking problem.,i thi nkthattommayh afea drink ingbr ob rem   it hin k ,i thimgthadton i sunbr eju dicet,dhatdomis
I'm pretty sure that Tom won't want to do that.,impl et tyzu l e thatt omwon tw anddododh ad,idhimk tha d tonm ig hdn o twam ttoto dhat,iho beth atdo ndo esm dd othat
Tom said that I looked a bit nervous., adilooged ab  itner vous,t o msaitth,tons aiddhat hesne lv ous
I hate crowds.,ticiams ihad ecrow,ih ateboli,ds 
"If you don't know the meaning of a word, look it up in a dictionary.",iv yo  u don t kn owdhene an  ingofawordrook i dupinadi c diona ly,,hetlam z latet wold vorwold
Tom is looking in the mirror.,to misroo ki nginthe mi rrol  domhash i s glasz,tom isroogim gf olhizk  lasses, esom
They'll be here any minute.,they llbehere an ynin ude  coneh el,well ge tto thad in aninut e,ease cond
Tom was supportive.,tomwa ss ubpordi ve,,tomi ste voted
Why don't we do this another time?,wh y to ndwedodh isanotherd im e  w ,w et  omt hafe time totothat,eal en
Tom is a professional wrestler.,t omisapr ofezsionarw r estl  er,to nisabro fes si onalsurfer,
He was debarred from entering the club.,e nte redtoapac hinkop arlor hew aste parr edf romenterimkdhe  club,w e,her olledt heba llto hizdeam  made
Murder is a crime.,ulde ris acli me  it sroadkirl,m,
How will you get to Australia?,lia h oww ir lyou gettoa ustralia,im austra,h owman ytays d o you w andtosd ayimaus tralia
Why didn't you tell me you didn't know what to do?,wh ydi dm tyout er rn ey oudidm t knowwhatto do,,whyditntyo u juz d tell ne
We couldn't stop Tom., ldn tztobdom,weco u,to mco ultnd letitgo 
Brush yourself off.,hyoul zel fofv  mak eadigh tfi st,bluz,
Tom and Mary are constantly arguing.,ton an  dnalyare comztantlyalgui ng,tomandnaryar earw  aysvi gh timg,domandmalyh adan  a zd yar kunent
Just stop with the mean-spirited stuff.,stopp ret end inglig etherez modhinggoi ngon jusd stop withth  emeans biritet,,ztuvf
Help is needed fast.,bis neete d fazt,her,i sti lrmeede tson ehelp
How do you usually handle a situation like this?,whadwou ld yo u zayivyouw el einthis situation h owd oyouusua rlyhandleas it uad ionli  ,,kedhiz
Nobody was conscious of my presence there.,nopotywasc om sc iousof nyplesenc edher e,i tid ntre cognisetheber somacr ozst  hetable f romme,theys aitthe ydidn tkmo wany poty here
The surrounding areas produce wheat and other cereal crops.,d hesullound inkareas produce wheadandothe rcele a lcr ops  yitil izze l,no stofd hefarner zal oumther eg ro wlice,limkwheatind he
Nobody swims in the lagoon because it's filthy.,wi nte lzwimningi sndtang erousvorhealdhyb eople nobo dy s wimsi nth eragoombecau seidsvilt hy,,hew omtgom ealthewa  de rbecau zehe  zd eathlyaf  raidofjellyvizh
Tom seemed a bit baffled by Mary's request.,d omzee  meda bitb  affledbymarysrequ  esd,,tonwasabitpu zs redb ymary  sbe ha fior
How many years have you been a teacher here?,how na nyyears h av eyoup ee mateach erhere,,i ncur rentlyate acheladt hisz choor 
I loved bananas.,vet banamas  ilikeab pl esn oret hamo lamkez,iro ,
Sami was talking to Layla about Farid.,ging tola yraabo  udvarit  samitoo kdhatv roml ayla,z an iwaztal,
We need to clean up.,wen ee tdocr ean up,w ejuztcrea nedth ere sdroon,isup b oz ew e mustgoom
Is it true Tom wants to paint his house green?,u thin kd hadd o nnig hd liged odothad isidtr ue to n wantzt opai nt h,toyo, izhous egreen
"Tom and Mary can't read music, so they play the piano by ear.",tona ndmaryc antr  ea dmus icsot hey b  laythepi a nobyeal,i domd dhinktom  amdma rykn o  whowt odamce,tom pleten d ed notto healm alyant joh mwhisperimg
Where were you in 2003?,wh ere we rey ouin 2003,,whe re d you gedtor aztnikht
I don't even want to hear about it.,lomyo uanymore idon de ve mwa mtt o,idon t wan dto hea rv,he alabou tid
"Tom had something in his hand, but I couldn't see what it was.",d o mh ada hamn erinhi shand t onh at someth inkinh ishan db  u ti courdn t,,seewha titwas
I think that I owe you some money.,i dh i nkthat ioweyous oneno n ey  iamce l dain dh aty ouhaveno,iamsure dha tyo uha vee  noughmome y,b lethoughts
Ziri complimented Rima's looks.,ico nbrimentet rimasloo gs  siri sho wetri mahi zhollow eye,zil,
Yanni saw the truck driving real slow towards him.,yanm is awthedlu ckt  rifim gre arsl  owdowaltshim,y am nito ogom emore ste ptowaldsthedruc k,
Bruno heard a humming from the same spot.,brunohea rdahu nnimgf  romdh  e sa  mesbot,brum ol edlin atot hec lashsi te,
Below is a list of past administrators.,we zaw oul names ondhel isd perowi zalisdofba st atmini s,,tla d olz
I should've just minded my own business.,ishou rdveju stmi mdedny owm,i dididonm yowmin  iti ativ e,buzi mes s
It's 1am; time to go home.,m timetok oh ome,me it  s1a,im in noh u r rytokoho ne
"Anywhere Donald goes, he has a book with him.",rdgoezhehas abookwi  dhhim  t omh azapileoft ex d,a my whe re ton a,poo ksonhisd ezk
People talk in Toki Pona in the chat room.,peop reta lk int okibon aindh ec  hadroo m,do ncamzb eagkadaz an,
Ziri explored the cave.,ziri foundd hest reamo nthemap ziliex bro re ddheca,,ve
The BDS movement is alive and well.,t hebd smof emendi sar iv eamdwell,,ru nmingiza  goodzb ord
I don't think Tom expected that to happen.,iho pedh at tomt oesn tdodhad iton tthinktomex pect edtha t t oha,, pben
What is the river compared with the sea?,whad san ale whati st  helife r co mpar etwiththese,,a
I know my way around Boston.,ik mowny w aya roun dbostom,iditmd k mow t hatyou welek oink dob oston,for dh et im  ebeimgiminb oston
Ivan developed a soft spot in his heart for dogs.,ifan d eve lobetazo ft sb o ti nhis heardvordogz,ivanfou nddea td o gsthere,iva n titn dbringhisw a rret withhin
"A cat was tearing at the door, and there was a sound of gnawing rats beneath the hearth-stone.",acat w ast ea lin gaddh etool andt herewas asoun  dofgmaw imk ladsb en,nyca dk ilre dthi smouse,eat  hdhehear thsdone
Do you think Tom knows how Mary did that?,doy oud h ingto mk nows howmaly tidth ad  ma ybetondoes,i wonde r wh eth e r olnot d omkm ewmaryne edettododhat, ntk n o wt
We need to impress Tom.,w eshourdi nvormto m we nee d t oinblez,,ston
I don't think Tom is at home.,id om tdhim kdon  izath ome  tomismt sdi l,i suzpe ctdh add o miza dhomes leeping,la dho me
She caused a frightening accident by committing suicide.,s hecauzeta fr i khteminkacc identbyco  nni ttink suicite,s he acci demta llylo ckedherz erfoutofherhous e,
Were you expecting something different to happen?,w el eyou expectimgz omedhinktif vele  ntdohap pem,iex bec ded zon edh imgmolefronyou,
"We will sing ""Auld Lang Syne"" at the stroke of midnight.",l am  ks yneatthestrogeo fnidm ikht  zirih i ke tatnight,w ewil l s ingaurd,
Let's forget about yesterday.,wer enini scedap oudthe oldtayz re tsf ol ketaboutyesteltay,,ledslea vetom orrowmornin g
I hate the sound of my voice.,a dedhe so und ofm  yfoice,voice ih,t ha tnoi sei sgifimkmea headac he
I shoot hoops every now and then.,o witha kib now ishoodh oopz ev elyn o wamdt hem,ic ouldt,inaddinkthef inish  ingd ouche smow
Are you not coming back?,ar eyo uno t co minkbacg,,dom tro okback
Tom's friends aren't interested in doing that with him.,toms fri endsar entinte restedind o inkt  hadwidhh,domh as ndkotanyf riem dz,in
Which browser is your favourite?,favoriteamime whichbl owser izyoulfav ourit e,ur,whad syourfa vor itechriz tmascarol
It became increasingly hard to breathe.,id becameinc  leasingryh,sh estobbett oc atc hhelple ath,a rttobre athe
He claimed throughout the trial that he was innocent.,hecla im ed throughou dthe dr iald h athew asinnocend,,fyod orclaine thi sinnocence
Guess what! I'm going to New Zealand to study.,ingoinkdo au straliato s tudyarc hitec tule guess whad im koington ewse ,,ar and t oztudy
He didn't say what kind of bike he has.,cy cre heditn t s ayw h adki mdov bikehe haz,you donthaveap i,mem matcoul dn t fintanyb ikezhob
I thought that I dreamed it.,ith ought dh aditr eame  tid,itsee msrig  ea drean,
Dan wrote another check for Linda.,an wlodeanoth er chec kforlinda  da,t ,nditnd ev emnee dtoimderview linda
Didn't you promise not to do that?,ditntyoupr oni zem ot dod od hat  y oudon,you did mtke t achan  cetod othat did you,tb erieveiditt ha d to you
Yanni looks photogenic.,y anm irooksbhotokemic,ya m nih adawi gon,ya mniwash avingam  osebleed
I think I have a concussion.,k iha veac oncuzs ion,it hin,ithough ti tbeenzt abbe d
Have you really not yet done that?,haveyo ure  allynotyetd ome  that  tid m dyo upr omis emottod othat,youdo n tev er todhat amyno  retoyou,
"It drew strength from the not-so-young people who braved the bitter cold and scorching heat to knock on doors of perfect strangers, and from the millions of Americans who volunteered and organized and proved that more than two centuries later a government of the people, by the people, and for the people has not perished from the Earth.",zcolpzeisnad etosufver arlavailableindignities id tlewztre n gdhfr  omthenotsoyoung peoplewhopla ve dt he bi t  telcoldam d scorc h inghead doknockond oorso vpelfecds trange r  z andvromthemill ioms ofame  lica  mzwh ovor unteeled  a mdorganizeda mt broveddhadmore  tha ntwoce n,t esbi dea vratd er ings up posidio mdodhec o ntla l ypeoplecom eleatilydote rmzwit hp o wer dher eislit t lereasondothin kthad thepo wero f thegreatbank erswhiletheywer eassumeddoha veidw a smuchr esentedb ud as dhegho sdz o fm um e ro uzdyrant zflon juliuscaesaldob em it omuss oliniwi llteztivy p e oplearefery hard on thozewh oh a fi mkha dbowerloseit orareteztroy ed t he mamgeradbastarroga mceisjo inetwit hcontemb tvo rd heble sentweaknessdhevictimo lh i,d uri ezlateragovernnemtovthepeopre  byt h   epeo  ple  andfor thep eoplehazmotperishe dfromtheearth
Make a great first impression at your new job.,mag eakleatf ir zdin b rezsio matyo u rnewjob  i me e tdo fin t anew,sh eapp li edh ern in tdohelne wjob,job
Ethnic Chinese adopted the free market in Singapore.,cken hazbeenabplovedb y the si mgabo refoodagency ethn i cchinezeadop ted  dhefreemarket ims,r abkro wnchi,img apore
Tom said he knew who Mary's ex-husband was.,to n saith ekmew who na rysexhuzp andwas  tomknewdh adnary ca re,ikmowt had tomi  zaforme lb oyfr iemtofm ar yz,t
A square has four angles.,wozqu aledi z four az quar eha sfoulamg res,d,zkur ahadvourexhuz ban dz
Tom definitely didn't win.,dontevinit eryti tn  d,tomd idntw i nthela ce,win
Did you practice yesterday?,tid youpr actic eyestelday,didyouen joyy oulzerv esye sterday,you musdv ebeenbractic ing
Sami read Layla's suicide note.,zani read rayrazs  uicidenote,s amirea lised layrawasd ead,sanipi cket onla yra
When is my first work day?,whe n ismyfi rz twor gday,ca nisda lttomorro w,whadtim ea reyoug ettimkuptom ol  low
I left Islam.,ire fdi sla  n,i slano ffersthed ruth,
Ziri didn't suspect anything.,rid itntsuspectanythi  ng,si,sir idoezn dwan tanydhing
What would you say if you were in this situation?,w ha dwou ld yo usa yifyo uwe reinthiss,ho wd oyouuz  ua llyhan dl eazituadionli gethiz, ituation
Tom asked Mary to stop smoking., om asket mar ytostobs moging  to nti d,d,nda zkmar y v orpernizzio ntotothat
Tom did that without my permission.,withoutmy pe rni ssiom  tomd i dn daskneforper mizz iom,tomd id that,
Her program is shown once a week on Algerian TV.,might he lbrogra miss how  nonceaw eeko n ar gelian,heap peare domd vrast,tv
"A treaty is, as it were, a contract between countries.",adl eat yis asitweleacond ra ctbedw ,alkeri ahasafre etla deag reement  wi dhthe eu, ee mcoun tries
Has anybody told Tom why he has to do that?,h azamy p odyt o lddomw hyh e hazdo do,whyist oma cdi n kthi sway,dhad
Tom is a fierce competitor.,omi safierc ecompe didol  t onisa thrirlseeke r,t ,
I was invited to Boston.,iw asi nv ite dtobost on,,ir ea rry w amt ettogotobos ton
Aren't you and Tom going?,alen tyouandton ko i ng,youtoo dom ,al eyou sti llg oinkdocar r dom
You look good together.,yourookko od togeth er,you lookpre ttybro u dofyourse lv,you gi mdofloog li gehe l
It's lonely in the saddle since the horse died.,idzrome ryint hezad tlezin c   e the horsed ied,dheh orseb ucked,
That's a really weird shade of red for a car.,are arlywei rtsh  ate ofre t voracar,t h atz,d omhasag ray c ar
Put your hand up if you haven't got a book., hamtu pi  vyouhav e ntgotap ook  t,p ud youl,ake th el itdreboo kan teadi tup
Why don't you ask Mary if she'd like to come with us?,w hy domty ouaskm ar yivs h edrig etoco  m ewith  us,ar e youbl  am ningdod  ellnarywhyy ou wamt   hertodothat,
They forced him to tell the truth.,cedhin tode  lrthedr udh  hebr oukh to udthetl udhovthe n urdelcase,dhe yf or,
Tom said Mary didn't look too happy about it.,dom sai dma r ydi tmt r ooktooha ppyabo utit,,tomsai ddhat nalydidnd look ne l fous
Antonio entertained himself.,andonio nad erimar augh antomio entertain edh,,inzerf
Tom has started ignoring me.,tomhazztart edignor in g ,tonge ebz pri mging medown,me
"""I read that Tibetans have group marriages."" ""Is it true?""", reatdhatd ibetanzhaf eklo ub marr iage sisi ttru e  imsdudyi,i,nkj apane serealryco ol
Mary wondered whether she should let Tom go to Boston with her.,marywomde re dwhet h  e lzheshourt lett omgotobo  sd on widhhel,tom saidt hat  hecould goto bo s  domwithmaly,
I never ask for help.,ca n herpm eimanyw ay ine fer as kfor,no body,hel p
I have absolutely no clue.,i have absoluder  y,i mnotcompretely z ule,nocrue
Tom will decide what we'll do this afternoon.,mwilrbe le ady todotha tb ytonorlow tonw ill decidewh adw  e lrtothisavt erno,t o,on
Ziri snuck out of school.,l izn ucgoutofsc hoo l,zi,youbadroppe do udov sc hool
How did you spend last summer vacation?,s pend razt sunmerfac adion  wh eretidsheg or as,ho wtityo u,t weekend
A fire broke out the day before yesterday.,tmighd a vir ebrokeou tdheda ybe vo le,hehad afire inhis apartm e ntla z,yezte ltay
Layla wasn't ready to go home yet.,layra w asmtre atydo go,laylacourdnt fi ghtamy nore, home yet
You're the only person who can help me do that.,nobo dyc anhelpme inamy way y o uret heomlypers onw ho c anhel  pnet,,othat
Why don't we just forget the whole thing?,dom t w ejus tfo rgett hewho rethimg  howcoul di havevorkotd e nit,why,
Tom began to make his way toward the exit.,tonbeg a mtonak ehizw ay tow ar dd heexid  dont,tonwalked aw ayunhul d,rie dtoke ta way
Mennad never watches stupid videos.,me nm ad ne ferwatchezztupitvideos,m em nadti dntwadchdhevi deo,me mnadhasmtseen dh isvi  deoyet
Mary and her husband are from Boston.,ma ryand he r husbam talefronbos tom,tom to esmtthi mknary isim bo zton,i dontth ink toma ntm ary  alebackv l ompo sdonyet
Mary was the first woman to hold a statewide office in any state in the country.,n ar ywas t hevi lsdwom  antohortastad ewideof vicei  na my sdadeint  hecoumtry,mary w asn tthefi  rz t omewhos aitshe wamde  tdododhat,m alywamt ed tolunforcr aszbr esid ent
The dog hid under the bed whenever lightning flashed.,t hedoghi tu n de rthebedwh emevellig htningfr azhed,the dogi zsl eeping ondhe  porch,thed ogisw a kgi ngidsd ail
Tom has changed a lot since I first met him.,nf orqu ite zometine to m hazcha nged alo dsinc eifi  ls dmethin,o,ilrarw aysre nenb er th efir zt time thadisawd on
I asked why Tom was late.,y ousho uldveasget tom whyher eftea rly ia z kedwhy to mwazra,, de
He is envious of Tom's success.,heisenvio uzofdo  mszu  cce zs,to n i ssureof succezs,
I wish to travel as soon as possible.,hdotlave la s s oonas pozs ipre,iwi s,il igedo drav er
She hoped she could win.,heh ob edzheco ultwin  shewaswi nnin g,s ,
You were feeling.,youwereimblic atet youwere fe elin,,g
Good afternoon! How are you?,gooda fte lmoonh owa reyou  howsyoulcou scouz itste li ciou,hello a r eyous dilldhele,s
Lorenzo had a fairly dark complexion.,oha dava irlytarkcompl  exion,lolenz ,rima wasrivit 
I don't think that everyone here has done that.,i do ntd hi nkthate very one helehazd omed had,,it omtthinge fery bo dyhas kife nup
What's his real name?,whatsh is realn ane  ho wtoyo ublon ou n ceherma,hehas as tra mkenam e,me
I promised Tom I'd meet him in the lobby.,ipr o nisedt oni tneeth  ini m thero bby,,illme etto ma tt heli brary
Mary pointed to her watch.,marypo intett ohe rw atch  ma rysh oo,malystr ai ne dherback,kherh eadan dr oogetaway
Tom isn't welcome in our home.,t o misn dstilla thome t omi sntw ercomeim ,,o urhone
Tom told me that I'm better at doing that than Mary is.,tomdor tn eth ati  npett elattoi n  kdhadt  hanmaryiz,to nto rt methathe t hou ght nar yh addomethat,dond idhi s bes tto per suademar yt o dothad
He looked like he was going to start crying again.,lo oketlikehewazko ink tost a  ltcry ingagai n  thebaby,he ,stalted cl yink
All of this is very worrying.,al rov thizizve ryworr yi ng  he isfe ry ca,ins er iouzaboutdh is,revul
Sami's plan wasn't working.,samisblanwasm dwo l  k,samiw a zno dcomink,ing
Tom hasn't changed his mind yet and isn't very likely to ever change it.,ngtoc ham gethat tomhazn tc hank edhismi nty eta ndisn  t verylike l ydoev  erch,to mis nefe rkoi,ankeit
It's a lot of fun to watch baseball.,emiwa syou nki wour dov temwatchba zebarr it z alodoffunto wad chbas  eba ,wh,ll
Tom goes to see Mary in the hospital every day.,ztos  e emary intheho  sbi talef eryday  toms wole,domgoe ,thath eh ad m dzeem maryal lday
"If you've caught a cold, then don't come to school.",ify ouveca ughta  co ldthent omt c  ometozch o ol,yo u won tpa ss theexa mifyo udon tzt ut yfolid,
Ziri likes tortoises.,ik eztortoises,zil il,z iriador ezrinasgr andchildren
"He's quite smart, isn't he?", esmard  izmthe  he zq uites tronkisndhe,h ezquit,
I'm not a painter.,i mnodapa inte r,im notap u bil,imtheon ewhost ol et he paindim k
Tom showed his stamp collection to Mary.,to nsho wethizs tam bc orlec tiontonaly  to mt oo g apicdule,toms howedt he tra wimktoma ry,ovmaly
I love little girls.,over itt rek irrz  irike ca tz am dcatsli k ene,ir,
It's a weapon.,omd hamt id zaw eapom,zec,hesana nim ar
The situation hasn't improved.,thesituat ionhazm dinprov ed,idon ddhi nkdhez it u atiom wilrget an ypedter,d hezidu a dio nwillzu relykedbetter
I wanted some more time.,iwan tetsoneno re di me,they za iddheyneet edz ome m oretine,itme e dzmoledim ethanw etho ukht 
I woke up on the couch.,ohmszreepin gont hecouch iwok eu pon  the c,j,ouch
I tried to force myself to stay focused.,idrie ttoz ta yb usy idri edtof ol c enyz erfdozt ayfoc used,,tlytos to  pme
All we need to do now is pack up and leave.,on ow ispackup a n dleaf e  ik now noww,al rwe mee tt ot,h a tw ehafet odo
She bought him a dog.,he bou ghtz onefo od vorher shebough th i mado g,,heboukhdhelv lo  wers
Mary shook her head and looked away.,mar ysho ok he rhe adandlooge dawa,ma ryboint edt oherwa tch,y
You should've asked Tom why he left early.,yousho uldveaske t ton wh  yherev tea rly,iaske twh ydomw asl  ade,
Tom got the chance to do that last year.,do mg o tthechance to t othatl asdy eal  tom sh ould fedo neth,to mhadan obpo rdu mit  ytodothad,at longago
Tom seemed to hate me.,domw aza vr aid ofme t omseen ettoh ad,, eme
Your tie has come undone.,y ou rdie hazcom eundone,abletdedme dr aris wling ly,irik eth addi e
Are there any ghost towns in Algeria?,aredhe leany ghost towm zi marger ia,dotheyliv eina lg  elia,t o esarg eriahaveanyg oodres olts
Tom didn't know the baby was Mary.,tomd idm d know thep  abywaznary,tomt oe zntkmowma ry,ididnd kmowmary wa sto m zd aughter
I suspect Tom didn't want to do that yesterday.,cttondidmtwa  nttodo t hat yeste lda y  i nbletdy sureth,isusb e,a ddomw ontw amd tod oth at
You still look doubtful.,y oustillloogsl ee py yo uztil lloog to,,ubdful
Some observers say the government’s “heteronormative” notion of family makes LGBTQ partners invisible in the legal domain.,e nbhysicarlyab us edfo rbeim gtlans some observelzsayth ego veln ne mt’z“ hetelom o rna  dive”n otionoffanilynag eslgb tqpalt,onei nevelydendranz am ericans whoaleoutd oth ei rfami liezhafebe,ne rsimfisibr  eimthelegaldomain
Do you know anything about horse racing?,z doy ougno wamyt hi mga pouthorse ra,doy o uligehorse,cimg
"The new robot, dubbed “Flipperbot,” was designed to allow scientists to learn more about the locomotion of animals such as seals, sea turtles and mudskippers.",thenewlobotdubp ed“fri ppelpot ”wazdezigm ettoarlows ci en d iztst  olealnmol e a boutth e loc omotionofanimalzs uc  hasseal ss e aturtl  ezandmudzkipberz,interligemtam i malz canherpb eople,aresmapp ink tuldresdamgerou z
Tom couldn't stop smiling at Mary.,t omcourdntsto bs m ilinga dmary,domsm il edbac katmar y,tomcou ldmtstopd ar kimgapoutma  ry
He never did what you say he did., tw h aty ou zayhed id  h eneverdordhela nyt hing ab outt hat,henever ti,
I'm interested in volunteering.,nderezdedinforu nt eeling  i tlikedomag e an appoi,imi ,ndnend
Tom's body was cremated.,to nspody wascremat et,tontie tfromhi zin j uries,tomloo k edli k ehewast ead
Let's go downtown today.,re tsgodo wntowmd oday  we’llbet here t,letsleav edomo rrow mornimg,omorlo w
I can't do anything else.,icantdoanyt hi nkel se   im,ican t doanydhi ng ri ghtnow,notd oing amythingcur remtry
Scientists have detected for the first time an interstellar asteroid passing through our solar system., tistzhaf e dedectedf or dhefir z tti mean imte rsderl  a lasteroidpass imgthroughoulsolarsysten,nma rswemust v irztget there zcien,dhenunb ero vs pace ztati om sgr ewkr  adualry over sevel alcem duri esashuma nityexpa ndedint odhe orionspul ofthekalaxy
A hornet is buzzing.,aholnet isbu zzing ,ap red  tednedlaliswrinkly ,th ecriesofhurrayw ere deave ning 
When did he arrive here?,w he mdidhea rriv ehel  e,whe rehas shecone fro m,
Sami told Layla about it in the morning.,ndheto ldlayra s ami do rdl  ayraabou ditintheno ln,sa mi prokedown a,ing
I heard that since Tom isn't feeling well he won't come to school today.,ld  d hatz in cet omizmtf eelinkwerl hewom d conetozch  ooltoday  to nnee tstok e dba cktosc hool,i hea,
Tom hasn't saved anything for retirement.,sndza vetamydhingv orleti ren ent  tomd id nt ketbaidfortoi nk dhat,ton ha,
How old are you guys?, u thinks heiz ho wo ltar eyouk uys,oyo,isthiz personall ea dy ol tors t irlyounk
I would like to attend that lecture.,iwo u rtli ketoat de mtthatle cture  i wa nttos tudy hizdor,i dliketo  makeanappo imdm ent,y
We are to meet him at seven this evening.,w earet omee  thi matseve mdhiseve  mink,,i l lbedhere dhiza ftermoon
You seem to have a lot on your mind.,rturbed youz een toh afe aro to ny ourm ind,youse emum be,idhi nk yourezofo  reign
Ziri put the posters up all around the neighborhood.,siri pu tdhebos der s upalra rou mtd hemeikhbolhood,,sir ialwaysmade suret o s tayclo zet  oyasit
I don't plan to worry about Tom anymore.,i to ntplant owol r yaboudton amy more,i t on ddh inktonw il lpeas cale  r essthenextt i mehedoest hat,i hopeto mdoesm d dhingi m aflaidto f ight
Can Tom and Mary both speak French?,canto nan tmarypodh spe a gfrenc h,tomd oesntgmoww he dhe rm a rycan sbeak  flencholmod,tomk mewn al y couldnts peakvrench
The summer here is quite warm.,su mner t hezu nnerhelei squi  dewarm,dherearl ,idsveryhott o day 
I think that's what Tom was trying to tell us.,ipe liefewhat tomdo ld me it hingdh a tswha ttomwaz   tryink d,,o telrus
I don't think that I know the girl talking to Tom.,nw andedto talktome i dontthi mkt hat igmo w theg il lda lk inktoton,atto,i guezsd omtit nt kn ow iwascom imk
Daniel wasn't listening to the history teacher.,tani el waz ntlis teninkto dheh,dmit riwas acatholiczcho olteache r,izdory deachel
I know Tom is a responsible driver.,ik no wdonisares bomsi b  le dl,tomiz theo ne res b onsiblefo  rthismezs,ivel
Jessica had another baby.,j ezsi cahadanodhe lpaby  sam ihazp eenzeei ngano t herkirl,ya nniha d aw igom,
She didn't come before two.,hesnod co mimk she tidn tcone befo le,,two
I have to do this for her own good.,i ha vetodo thizf orh,it occur ledto me that izhoul tt o thad,el ow n k oot
That's embarrassing.,that senballassing  dhat sgind ofr,itsglodesque ,u de
I want you to take care of Tom for a little while.,iw antyou tofo ll owtom iwa n tyout o  dak ecareofdonv or al  idtlewhi le,,in e ed tom d ofouch vorme
Just don't pierce anything.,jus ddon d pierceamyth ing,,dontbeal rg lumb y
Sami was raised as a cowboy.,z havimg ashit sam iwaz lai seta za cowpoy,sa miw a,s aniwa sznogi ngd opein dheadd ic
Mary thought she might be allowed to do that., dodhad nal yd houghtsh  emik htbea rl owedd odothad,dbe possi bredo,tomthou ghtmar y mighdb ear low edtot o thad
Tom didn't know that he had done anything wrong.,tom tidndkn  owthadhehaddon e a  ny thi m gwromg,ik nowth atto nditntgmowt hathe wa  ss  up bo se dtotothat,
Didn't you tell him?,t you tel rhim,didm,your oved  himt idmtyou
"After the meeting, she went straight back to work.",helesu neth izw orkavde ranedi c allea ve af telthemee t inkshe we  mdztlai gh ,,tbacgtowolk
Tom is oblivious.,doni spl asteret ton isop riviou,,s
Tom said that he could go to Boston with Mary.,t om sa idthathecoul d koto pos t onwithma ry,itold tonhesh oul dmd go t ob  oztonw ithmary,maryw ondere  dwhed he rshes houltr  ettomgo do boz tomwithher
I don't want to sit around for hours.,idom twam dd ositarou ndfo   rh ouls,idomd w an tt  ofarras leepyet,
I know Tom is a Harvard graduate., ezte dd oknowdhatto mgotac cepdetinto halvald iknow t omizah arv  aldgra duate,inte r,t omisa junior at harvar di  zndhe
He said that he was colorblind.,hezai d dha dhew azcolo lblind  hes aitdh adhe w asmds,he saithe f eldr ike g ivinkup, olly
Tom is home again.,tomizhom eaga  im  tonisprop a blya dh om emow,toniznds ti llat ho me,
My name is Anna.,m y maneisha zsam my na nei zan,,na
You and Tom have to work together.,ntdom haf eto workt ogeth er,yo ua,do namdi llbe the redo gedher
Tom will be heading to Boston after this meeting.,mg tob ozto  nafde lthi smeeting  to mwi llbloba plygodo bost ononm,tomw ilrbeh eati,ontay
It's unsafe to be on the streets at night., nsafet obe on th  e sdreetsatmig ht,idzu,zi rihige dad night
"Tom, you're already drunk and it's only five!",do my oure arl e atydrum gandi dzonlyvive,t omwasd r unglastnikh t,your e onplet tyzhaky g round heredom
Watch the forest!,wa tchthef ol,ro ok anakave,esd
Tom and Mary have met a lot of interesting people.,h avetom am dnar yhadmany v isitolz to nan dmaryhavenetaro do  vi mte re stinkbeo,, ple
Tom was too afraid to enter the cave.,tonwaztooa fr aid t oemd ert hec ave  tonw a zafr aid of,dom ente redt hecave,you
Which one are you bringing?,whic h onearey o  upri nking,whoscoming w idhyo u,
Maybe we can do something to help.,mayb e wecand os omethimgt ohe lb  ill do wha tev er ic amdoy ou herpoud,weddoanyt hingd oh el bthe m,
I have to be on time.,dimeh a zcom ewhenwem usd palt ih av et opeom ti n,th e,e
